cohort,band,score,q,r,burden,sensitivity,ci_lo,ci_hi,n_boot
ham_oof,60+,d,0.3,754,0.3001592356687898,0.7166853303471444,0.6819587012465201,0.7445480935278476,500
ham_oof,60+,msp,0.05,126,0.05015923566878981,0.0683090705487122,,,0
ham_oof,60+,msp,0.1,251,0.0999203821656051,0.1422172452407615,,,0
ham_oof,60+,msp,0.15,377,0.1500796178343949,0.20828667413213886,,,0
ham_oof,60+,msp,0.2,502,0.1998407643312102,0.2911534154535274,,,0
ham_oof,60+,msp,0.3,754,0.3001592356687898,0.4322508398656215,,,0
ham_oof,60+,entropy,0.05,126,0.05015923566878981,0.08062709966405375,,,0
ham_oof,60+,entropy,0.1,251,0.0999203821656051,0.1522956326987682,,,0
ham_oof,60+,entropy,0.15,377,0.1500796178343949,0.21052631578947367,,,0
ham_oof,60+,entropy,0.2,502,0.1998407643312102,0.2877939529675252,,,0
ham_oof,60+,entropy,0.3,754,0.3001592356687898,0.43896976483762595,,,0
ham_oof,60+,margin,0.05,126,0.05015923566878981,0.0671892497200448,,,0
ham_oof,60+,margin,0.1,251,0.0999203821656051,0.13885778275475924,,,0
ham_oof,60+,margin,0.15,377,0.1500796178343949,0.20716685330347145,,,0
ham_oof,60+,margin,0.2,502,0.1998407643312102,0.2945128779395297,,,0
ham_oof,60+,margin,0.3,754,0.3001592356687898,0.4311310190369541,,,0
ham_oof,60+,disagreement,0.05,126,0.05015923566878981,0.07278835386338185,,,0
ham_oof,60+,disagreement,0.1,251,0.0999203821656051,0.13885778275475924,,,0
ham_oof,60+,disagreement,0.15,377,0.1500796178343949,0.20492721164613661,,,0
ham_oof,60+,disagreement,0.2,502,0.1998407643312102,0.2799552071668533,,,0
ham_oof,60+,disagreement,0.3,754,0.3001592356687898,0.4154535274356103,,,0
bcn20000,ALL,s,0.05,599,0.0499916541478885,0.0923004841480556,,,0
bcn20000,ALL,s,0.1,1198,0.099983308295777,0.18257066999843824,,,0
bcn20000,ALL,s,0.15,1797,0.1499749624436655,0.2678431985007028,,,0
bcn20000,ALL,s,0.2,2396,0.199966616591554,0.3493674839918788,,,0
bcn20000,ALL,s,0.3,3595,0.300033383408446,0.4989848508511635,,,0
