arm,budget,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,score,role
band,0.2,0.855,reserved,unknown,119,35,25,0.21008403361344538,25,0.6857142857142857,0.3142857142857143,11,0.35294117647058826,0.35758651286601595,13,24,13.03125,4.929398148148148,3.3090277777777772,0.5071199996848251,0.8314828492529975,CP,msp,primary
global,0.2,,reserved,ALL,4733,2340,779,0.40270441580392985,1906,0.7324786324786324,0.26752136752136757,626,0.36767676767676766,0.4865212545044573,797,1423,33.02436999006729,11.45913767352366,7.146091210214935,0.7022828699233863,0.7623642611428896,boot,msp,primary
global,0.2,,reserved,<40,978,279,104,0.23210633946830267,227,0.6093189964157706,0.3906810035842294,109,0.2875816993464052,0.4767122815018392,75,184,24.476571572835137,8.667432466548851,5.5056046452915925,0.48592284029735966,0.7153464900423537,boot,msp,primary
global,0.2,,reserved,40-59,1525,598,174,0.33049180327868855,504,0.6872909698996655,0.31270903010033446,187,0.33214285714285713,0.4323215468268324,190,377,30.52353955542957,10.64236813763188,6.666133854072342,0.6142547373636332,0.7556568914628147,boot,msp,primary
global,0.2,,reserved,60+,2111,1428,479,0.5390810042633822,1138,0.7745098039215687,0.22549019607843135,322,0.40808823529411764,0.4757585000049235,516,838,49.845895805919525,16.953036677354188,10.374464851641122,0.7405794591157078,0.8062634154255678,boot,msp,primary
global,0.2,,reserved,unknown,119,35,25,0.31092436974789917,37,0.7714285714285715,0.22857142857142854,8,0.38461538461538464,0.21802376122862938,16,24,23.916666666666668,8.484567901234566,5.398148148148148,0.5986367438926854,0.8957895680521848,CP,msp,primary
band,0.25,0.88,reserved,ALL,4733,2340,779,0.4498204098880203,2129,0.7341880341880341,0.26581196581196587,622,0.35477178423236516,0.48348559517193523,801,1423,44.33227929540321,15.15229323789263,9.316296026390516,0.7031207997311828,0.7634339928102405,boot,msp,primary
band,0.25,0.88,reserved,<40,978,279,104,0.5122699386503068,501,0.8100358422939068,0.1899641577060932,53,0.13114754098360656,0.40710137117537876,131,184,50.481199437882175,17.160526415739298,10.496391811310723,0.7147756108407891,0.8866731448763251,boot,msp,primary
band,0.25,0.88,reserved,40-59,1525,598,174,0.3947540983606557,602,0.7207357859531772,0.2792642140468228,167,0.29831932773109243,0.4574550988189016,210,377,37.155069492938075,12.80822134954543,7.938851720866904,0.6497292627233364,0.7870582301493166,boot,msp,primary
band,0.25,0.88,reserved,60+,2111,1428,479,0.4699194694457603,992,0.7247899159663865,0.27521008403361347,393,0.39631336405529954,0.45769773288088794,445,838,46.79708447386848,15.957296949377922,9.78933944447981,0.6888751868460389,0.7602577622587698,boot,msp,primary
band,0.25,0.88,reserved,unknown,119,35,25,0.2857142857142857,34,0.7428571428571429,0.2571428571428571,9,0.35714285714285715,0.21826180136484125,15,24,21.625,7.73611111111111,4.958333333333333,0.5674411503059621,0.875106028083238,CP,msp,primary
global,0.25,,reserved,ALL,4733,2340,779,0.478766110289457,2266,0.782051282051282,0.21794871794871795,510,0.3444730077120823,0.5004979045273311,913,1423,38.506237454871794,13.249511896035568,8.198166784268324,0.7520435506801962,0.8113388595657812,boot,msp,primary
global,0.25,,reserved,<40,978,279,104,0.2985685071574642,292,0.6738351254480287,0.3261648745519713,91,0.2601626016260163,0.4863192704908374,93,184,29.585334672632634,10.335951054698201,6.486074331111314,0.5507757636938202,0.7777875586854459,boot,msp,primary
global,0.25,,reserved,40-59,1525,598,174,0.3921311475409836,598,0.7190635451505016,0.28093645484949836,168,0.29707112970711297,0.455985656895991,209,377,36.79358771731768,12.69016164504988,7.869476430596323,0.6473873445803351,0.7846487585857448,boot,msp,primary
global,0.25,,reserved,60+,2111,1428,479,0.6300331596399811,1330,0.8291316526610645,0.17086834733893552,244,0.39901477832512317,0.4866948430283079,594,838,55.36900498595228,18.756880416287444,11.434455502354478,0.7985998672859986,0.8581586803661272,boot,msp,primary
global,0.25,,reserved,unknown,119,35,25,0.3865546218487395,46,0.8,0.19999999999999996,7,0.3,0.20676691729323307,17,24,31.9375,11.104166666666666,6.9375,0.6306211554775547,0.9155939838394355,CP,msp,primary
band,0.3,0.905,reserved,ALL,4733,2340,779,0.5237692795267272,2479,0.7901709401709401,0.20982905982905986,491,0.34966887417218545,0.5158266961031539,932,1423,48.173297274794415,16.4067671234177,10.05346109314236,0.7610585918072517,0.8167753094759251,boot,msp,primary
band,0.3,0.905,reserved,<40,978,279,104,0.5378323108384458,526,0.8315412186379928,0.1684587813620072,47,0.12962962962962962,0.41096452918084797,137,184,52.267333875980455,17.743876720438063,10.839185289329583,0.7456520649558942,0.9006421232876712,boot,msp,primary
band,0.3,0.905,reserved,40-59,1525,598,174,0.4819672131147541,735,0.7759197324414716,0.2240802675585284,134,0.25139664804469275,0.5029680932323922,243,377,44.63127720120522,15.249945752582176,9.373679462857568,0.7090121296269513,0.8360451611565201,boot,msp,primary
band,0.3,0.905,reserved,60+,2111,1428,479,0.5580293699668404,1178,0.7878151260504201,0.21218487394957986,303,0.4070450097847358,0.4808638188055986,535,838,50.124872620790626,17.044150317227913,10.428005856515375,0.7543363702750967,0.8186316768086545,boot,msp,primary
band,0.3,0.905,reserved,unknown,119,35,25,0.33613445378151263,40,0.8,0.19999999999999996,7,0.36363636363636365,0.21644150617993674,17,24,24.571428571428573,8.698412698412698,5.523809523809524,0.6306211554775547,0.9155939838394355,CP,msp,primary
global,0.3,,reserved,ALL,4733,2340,779,0.5544052398056201,2624,0.8243589743589743,0.17564102564102568,411,0.315,0.5176619664104043,1012,1423,45.4641349607688,15.521956536008664,9.53352085105664,0.7951988134707125,0.8517505137066463,boot,msp,primary
global,0.3,,reserved,<40,978,279,104,0.3619631901840491,354,0.7060931899641577,0.2939068100358423,82,0.18,0.482087492084128,102,184,36.102176423171606,12.464347181978605,7.736781333740005,0.5819617590226267,0.8058823529411765,boot,msp,primary
global,0.3,,reserved,40-59,1525,598,174,0.48,732,0.774247491638796,0.22575250836120397,135,0.25,0.5017288267288268,242,377,44.44964247520393,15.190623973383097,9.338820273018934,0.7078733799032235,0.8333333333333334,boot,msp,primary
global,0.3,,reserved,60+,2111,1428,479,0.7025106584557081,1483,0.8669467787114846,0.13305322128851538,190,0.3968253968253968,0.49287419499377194,648,838,63.029169041835296,21.2586848385792,12.904587997927987,0.8381399430781252,0.8937533391672808,boot,msp,primary
global,0.3,,reserved,unknown,119,35,25,0.46218487394957986,55,0.8857142857142857,0.11428571428571432,4,0.2,0.18579234972677594,20,24,34.266129032258064,11.86469534050179,7.384408602150537,0.7419354838709677,0.975609756097561,boot,msp,primary
