arm,key,view,budget,conformal,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,flag_rate
S56_CONF,S56_CONF@0.2,ARG,0.2,True,0.855,reserved,<40,978,279,104,0.7137014314928425,698,0.8817204301075269,0.11827956989247312,33,0.26666666666666666,0.37114981792401147,151,184,75.53239819951847,25.342231061795598,15.30419763425102,0.8149699035394198,0.9403040559285358,boot,0.7259713701431493
S56_CONF,S56_CONF@0.2,ARG,0.2,True,0.855,reserved,40-59,1525,598,174,0.7514754098360655,1146,0.9130434782608695,0.08695652173913049,52,0.6148148148148148,0.4896177608352214,325,377,81.12251502542765,27.167959452749095,16.37704833821339,0.866900479616307,0.9502405678964561,boot,0.8072131147540984
S56_CONF,S56_CONF@0.2,ARG,0.2,True,0.855,reserved,60+,2111,1428,479,0.6745618190431075,1424,0.9082633053221288,0.09173669467787116,131,0.7075892857142857,0.535609405727609,707,838,75.52802333575285,25.34080223423578,15.303358013932367,0.885574753939475,0.9285727291644991,boot,0.8356229275225012
S56_CONF,S56_CONF@0.2,ARG,0.2,True,0.855,reserved,unknown,119,35,25,0.6218487394957983,74,0.8857142857142857,0.11428571428571432,4,0.6,0.2594352809616997,20,24,66.20161290322581,22.29480286738351,13.513440860215052,0.7586206896551724,0.9743589743589743,boot,0.6722689075630253
CASC,CASC@0.2,LAM,0.2,False,0.89,reserved,ALL,4733,2340,779,0.38347770969786604,1815,0.7388888888888889,0.26111111111111107,611,0.45592163846838824,0.4698638046359226,373,984,44.05659677819706,15.062255513417893,9.263387260462062,0.70835140182536,0.7678547501759062,boot,0.5277836467356856
CASC,CASC@0.2,LAM,0.2,False,0.89,reserved,<40,978,279,104,0.5122699386503068,501,0.8100358422939068,0.1899641577060932,53,0.13114754098360656,0.40710137117537876,112,165,50.481199437882175,17.160526415739298,10.496391811310723,0.7147756108407891,0.8866731448763251,boot,0.5204498977505112
CASC,CASC@0.2,LAM,0.2,False,0.89,reserved,40-59,1525,598,174,0.17573770491803278,268,0.705685618729097,0.29431438127090304,176,0.5799522673031027,0.4318384552292448,0,176,36.41278240463811,12.565790886363287,7.796392582708323,0.6338013678780502,0.7748008956960231,boot,0.4301639344262295
CASC,CASC@0.2,LAM,0.2,False,0.89,reserved,60+,2111,1428,479,0.48460445286594034,1023,0.7380952380952381,0.26190476190476186,374,0.4016,0.46327460326349285,261,635,46.757049071931235,15.944221414065082,9.781655882491853,0.7030867930754937,0.773692300963858,boot,0.6096636665087636
CASC,CASC@0.2,LAM,0.2,False,0.89,reserved,unknown,119,35,25,0.19327731092436976,23,0.7714285714285715,0.22857142857142854,8,0.5555555555555556,0.19122129648445438,0,8,30.02777777777778,10.480452674897117,6.570987654320987,0.5986367438926854,0.8957895680521848,CP,0.3865546218487395
CASC_CONF,CASC_CONF@0.2,LAM,0.2,True,0.89,reserved,ALL,4733,2340,779,0.6651172617789985,3148,0.9132478632478632,0.08675213675213678,203,0.7160839160839161,0.5094657280649718,781,984,77.73919466796093,26.06296930233067,15.727724229204622,0.8945725754714697,0.9298565033393796,boot,0.8094231988168181
CASC_CONF,CASC_CONF@0.2,LAM,0.2,True,0.89,reserved,<40,978,279,104,0.7423312883435583,726,0.899641577060932,0.10035842293906805,28,0.2222222222222222,0.323900285763368,137,165,77.03886599524647,25.834242429423938,15.593317716259424,0.842550454949716,0.9475366224433388,boot,0.7505112474437627
CASC_CONF,CASC_CONF@0.2,LAM,0.2,True,0.89,reserved,40-59,1525,598,174,0.5436065573770492,829,0.9013377926421404,0.09866220735785958,59,0.804635761589404,0.417152330418268,117,176,81.33366356251238,27.2369204227734,16.41757179482561,0.8533783990972538,0.9409548792988859,boot,0.7980327868852459
CASC_CONF,CASC_CONF@0.2,LAM,0.2,True,0.89,reserved,60+,2111,1428,479,0.7271435338702037,1535,0.9215686274509803,0.07843137254901966,112,0.6914600550964187,0.5608741314990703,523,635,76.96856795738451,25.811283137596956,15.579826173639452,0.9010564398386962,0.9402522161841819,boot,0.852202747513027
CASC_CONF,CASC_CONF@0.2,LAM,0.2,True,0.89,reserved,unknown,119,35,25,0.48739495798319327,58,0.8857142857142857,0.11428571428571432,4,0.7142857142857143,0.1926698390199453,4,8,67.53225806451613,22.72939068100358,13.768817204301074,0.7586206896551724,0.9743589743589743,boot,0.680672268907563
S56,S56@0.25,ARG,0.25,False,0.88,reserved,ALL,4733,2340,779,0.4498204098880203,2129,0.7341880341880341,0.26581196581196587,622,0.35477178423236516,0.48348559517193523,801,1423,44.33227929540321,15.15229323789263,9.316296026390516,0.7031207997311828,0.7634339928102405,boot,0.5254595394041834
S56,S56@0.25,ARG,0.25,False,0.88,reserved,<40,978,279,104,0.5122699386503068,501,0.8100358422939068,0.1899641577060932,53,0.13114754098360656,0.40710137117537876,131,184,50.481199437882175,17.160526415739298,10.496391811310723,0.7147756108407891,0.8866731448763251,boot,0.5204498977505112
S56,S56@0.25,ARG,0.25,False,0.88,reserved,40-59,1525,598,174,0.3947540983606557,602,0.7207357859531772,0.2792642140468228,167,0.29831932773109243,0.4574550988189016,210,377,37.155069492938075,12.80822134954543,7.938851720866904,0.6497292627233364,0.7870582301493166,boot,0.4426229508196721
S56,S56@0.25,ARG,0.25,False,0.88,reserved,60+,2111,1428,479,0.4699194694457603,992,0.7247899159663865,0.27521008403361347,393,0.39631336405529954,0.45769773288088794,445,838,46.79708447386848,15.957296949377922,9.78933944447981,0.6888751868460389,0.7602577622587698,boot,0.5987683562292753
S56,S56@0.25,ARG,0.25,False,0.88,reserved,unknown,119,35,25,0.2857142857142857,34,0.7428571428571429,0.2571428571428571,9,0.35714285714285715,0.21826180136484125,15,24,21.625,7.73611111111111,4.958333333333333,0.5674411503059621,0.875106028083238,CP,0.3277310924369748
