arm,view,kind,budget,score,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,flag_rate,decision_esc_rate,decision_specificity
COMB,COMB,band,0.2,entropy,0.89,oof,60+,2512,893,559,0.17993630573248406,452,0.8913773796192609,0.10862262038073911,97,0.8583941605839416,0.8507972169701057,24,121,25.69614905906928,9.06574565228862,5.739664970932488,0.4601910828025478,0.4140127388535032,0.8344657195799876
COMB,COMB,band,0.2,entropy,0.89,oof,unknown,38,2,1,0.07894736842105263,3,1.0,0.0,0,,0.2784503631961259,0,0,12.0,4.592592592592592,3.111111111111111,0.15789473684210525,0.15789473684210525,0.8888888888888888
COMB_global,COMB,global,0.2,entropy,,oof,ALL,6981,1356,818,0.19997135080933964,1396,0.911504424778761,0.08849557522123896,120,0.8347107438016529,0.8767708339954591,79,199,18.802656310679613,6.814335562747213,4.416671413160733,0.3091247672253259,0.25683999427016185,0.8869333333333334
COMB_global,COMB,global,0.2,entropy,,oof,<40,1319,64,34,0.04624715693707354,61,0.515625,0.484375,31,0.32608695652173914,0.8049400153563949,5,36,8.19043824701195,3.348392289428146,2.379983097911385,0.060652009097801364,0.03184230477634572,0.9888446215139443
COMB_global,COMB,global,0.2,entropy,,oof,40-59,3112,397,224,0.13110539845758354,408,0.8942065491183879,0.10579345088161207,42,0.8141592920353983,0.8429722109988645,0,42,15.435464944362305,5.714613129976914,3.770442767099836,0.22782776349614395,0.22654241645244216,0.8710865561694291
COMB_global,COMB,global,0.2,entropy,,oof,60+,2512,893,559,0.3674363057324841,923,0.9473684210526315,0.052631578947368474,47,0.8964757709251101,0.9067695111653579,74,121,34.37029030265595,11.898714341271475,7.404399148994577,0.5425955414012739,0.4140127388535032,0.8344657195799876
COMB_global,COMB,global,0.2,entropy,,oof,unknown,38,2,1,0.10526315789473684,4,1.0,0.0,0,,0.2807881773399015,0,0,12.0,4.592592592592592,3.111111111111111,0.15789473684210525,0.15789473684210525,0.8888888888888888
CAL_S56,CAL,band,0.2,entropy,0.845,oof,ALL,6981,1356,818,0.19997135080933964,1396,0.8613569321533924,0.13864306784660763,188,0.7918050941306756,0.8658671316474675,198,386,22.454520547945208,8.00703196347032,5.117534246575342,0.31771952442343504,0.17547629279472854,0.9546666666666667
CAL_S56,CAL,band,0.2,entropy,0.845,oof,<40,1319,64,34,0.3661865049279757,483,0.859375,0.140625,9,0.18181818181818182,0.47069486981328296,32,41,40.470916334661354,13.89117469515876,8.575226367258239,0.36770280515542075,0.025018953752843062,0.9920318725099602
CAL_S56,CAL,band,0.2,entropy,0.845,oof,40-59,3112,397,224,0.14010282776349614,436,0.8488664987405542,0.1511335012594458,60,0.7285067873303167,0.8758522270389866,84,144,13.070695280095741,4.942280950064939,3.3165980840587785,0.198586118251928,0.10668380462724936,0.970902394106814
CAL_S56,CAL,band,0.2,entropy,0.845,oof,60+,2512,893,559,0.18869426751592358,474,0.8667413213885778,0.13325867861142215,119,0.8226527570789866,0.8498006846447971,82,201,24.775449961934584,8.76504594716382,5.562965144209667,0.44227707006369427,0.34076433121019106,0.8987029030265596
CAL_S56,CAL,band,0.2,entropy,0.845,oof,unknown,38,2,1,0.07894736842105263,3,1.0,0.0,0,,0.28337236533957844,0,0,6.5,2.796296296296296,2.0555555555555554,0.10526315789473684,0.10526315789473684,0.9444444444444444
LAM_S56,LAM,band,0.2,entropy,0.89,oof,ALL,6981,1356,818,0.19997135080933964,1396,0.8938053097345132,0.10619469026548678,144,0.8348623853211009,0.8579948111893406,70,214,24.78683564356436,8.768764503116978,5.565150275027503,0.34665520699040253,0.25755622403667094,0.8833777777777778
LAM_S56,LAM,band,0.2,entropy,0.89,oof,<40,1319,64,34,0.3957543593631539,522,0.90625,0.09375,6,0.5384615384615384,0.938958738932531,18,24,41.998159087786775,14.389971149883227,8.868333562302514,0.40106141015921154,0.0758150113722517,0.952191235059761
LAM_S56,LAM,band,0.2,entropy,0.89,oof,40-59,3112,397,224,0.05077120822622108,158,0.8967254408060453,0.10327455919395467,41,0.8779761904761905,0.7914022792358356,0,41,15.272925072940591,5.661527717425042,3.7392482463219316,0.22718508997429307,0.22718508997429307,0.8707182320441988
LAM_S56,LAM,band,0.2,entropy,0.89,oof,60+,2512,893,559,0.2838375796178344,713,0.8913773796192609,0.10862262038073911,97,0.8145315487571702,0.8871264165729043,52,149,27.205358168234625,9.55865233103959,6.029311163600584,0.46894904458598724,0.39211783439490444,0.8511426806670784
