arm,budget,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,score,role
band,0.25,0.88,val,<40,267,22,10,0.3782771535580524,101,0.9090909090909091,0.09090909090909094,2,0.3333333333333333,0.5705244122965641,8,10,37.44816326530612,12.903945578231292,7.995102040816326,0.7083872584460665,0.988794413975849,CP,msp,primary
band,0.25,0.88,val,40-59,697,60,33,0.17647058823529413,123,0.7833333333333333,0.21666666666666667,13,0.6176470588235294,0.8959276142464131,14,27,20.245131767928118,7.285447075720631,4.693510137279135,0.6610169491525424,0.8929933414043585,boot,msp,primary
band,0.25,0.88,val,60+,558,226,132,0.2670250896057348,149,0.911504424778761,0.08849557522123896,20,0.8666666666666667,0.8864360125368941,31,51,28.480056146917764,9.97496783249503,6.27395016961048,0.8532484326018809,0.9530625614150017,boot,msp,primary
band,0.25,0.88,val,unknown,10,0,0,0.0,0,,,0,,0.2857142857142857,0,0,,,,,,,msp,primary
global,0.25,,val,ALL,1532,308,175,0.2565274151436031,393,0.8993506493506493,0.10064935064935066,31,0.8143712574850299,0.9335116808560457,57,88,24.023147165003188,8.519344360287235,5.418583799344045,0.8534235668789809,0.9467292769412612,boot,msp,primary
global,0.25,,val,<40,267,22,10,0.20224719101123595,54,0.6818181818181818,0.31818181818181823,7,0.3,0.763702120664146,3,10,25.891428571428566,9.12952380952381,5.777142857142857,0.45127557242622957,0.8613534784462021,CP,msp,primary
global,0.25,,val,40-59,697,60,33,0.17360114777618366,121,0.7833333333333333,0.21666666666666667,13,0.6176470588235294,0.8959370186203875,14,27,19.84832492735228,7.155850228798557,4.617355289087812,0.6610169491525424,0.8929933414043585,boot,msp,primary
global,0.25,,val,60+,558,226,132,0.3888888888888889,217,0.9513274336283186,0.04867256637168138,11,0.9105691056910569,0.951512003485132,40,51,37.98699915942841,13.079929018399179,8.098514990193332,0.9040514921722113,0.9872674418604652,boot,msp,primary
global,0.25,,val,unknown,10,0,0,0.1,1,,,0,,0.2857142857142857,0,0,,,,,,,msp,primary
band,0.3,0.905,val,ALL,1532,308,175,0.28133159268929503,431,0.9155844155844156,0.08441558441558439,26,0.847953216374269,0.9269483056753899,62,88,27.76689612015019,9.742050247995179,6.137081073564176,0.8725538575248365,0.953499847001224,boot,msp,primary
band,0.3,0.905,val,<40,267,22,10,0.41198501872659177,110,0.9545454545454546,0.045454545454545414,1,0.5,0.570953962980541,9,10,39.09912536443148,13.443148688046646,8.31195335276968,0.7715556023323666,0.9988498524734264,CP,msp,primary
band,0.3,0.905,val,40-59,697,60,33,0.2065997130559541,144,0.85,0.15000000000000002,9,0.6785714285714286,0.9311800033821059,18,27,21.478345184227535,7.688213747037276,4.9301874595992246,0.7498940677966102,0.9661158192090396,boot,msp,primary
band,0.3,0.905,val,60+,558,226,132,0.3172043010752688,177,0.9292035398230089,0.07079646017699115,16,0.8865248226950354,0.899336649423728,35,51,33.41213425129087,11.585781220118571,7.220510613884107,0.8749728260869565,0.9662746541065645,boot,msp,primary
band,0.3,0.905,val,unknown,10,0,0,0.0,0,,,0,,0.2857142857142857,0,0,,,,,,,msp,primary
global,0.3,,val,ALL,1532,308,175,0.3093994778067885,474,0.9318181818181818,0.06818181818181823,21,0.8478260869565217,0.9471669902142547,67,88,27.560975609756103,9.674796747967479,6.097560975609755,0.8895275770835454,0.9695193566868554,boot,msp,primary
global,0.3,,val,<40,267,22,10,0.27340823970037453,73,0.7727272727272727,0.2272727272727273,5,0.2857142857142857,0.7531450936538998,5,10,31.32989195678271,10.905722288915566,6.820888355342136,0.5462963763378781,0.9217937396481075,CP,msp,primary
global,0.3,,val,40-59,697,60,33,0.20516499282639886,143,0.85,0.15000000000000002,9,0.6896551724137931,0.9344640756316954,18,27,21.478345184227535,7.688213747037276,4.9301874595992246,0.7498940677966102,0.9661158192090396,boot,msp,primary
global,0.3,,val,60+,558,226,132,0.460573476702509,257,0.9690265486725663,0.030973451327433676,7,0.9313725490196079,0.9625186612470491,44,51,42.54274632777686,14.56783297573857,8.972850305330912,0.9363275333573746,0.9908736681887367,boot,msp,primary
global,0.3,,val,unknown,10,0,0,0.1,1,,,0,,0.2857142857142857,0,0,,,,,,,msp,primary
