band,lambda,expected_cost,escalation_sens,escalation_spec,referral_rate
40-59,1.06,0.87853470437018,1.0,0.0,1.0
40-59,1.07,0.87853470437018,1.0,0.0,1.0
40-59,1.08,0.87853470437018,1.0,0.0,1.0
40-59,1.09,0.87853470437018,1.0,0.0,1.0
40-59,1.1,0.87853470437018,1.0,0.0,1.0
40-59,1.11,0.87853470437018,1.0,0.0,1.0
40-59,1.12,0.87853470437018,1.0,0.0,1.0
40-59,1.13,0.87853470437018,1.0,0.0,1.0
40-59,1.14,0.87853470437018,1.0,0.0,1.0
40-59,1.15,0.87853470437018,1.0,0.0,1.0
40-59,1.16,0.87853470437018,1.0,0.0,1.0
40-59,1.17,0.87853470437018,1.0,0.0,1.0
40-59,1.18,0.87853470437018,1.0,0.0,1.0
40-59,1.19,0.87853470437018,1.0,0.0,1.0
40-59,1.2,0.87853470437018,1.0,0.0,1.0
60+,0.0,0.9335191082802548,0.7334826427771557,0.9116738727609636,0.3176751592356688
60+,0.01,0.9116242038216561,0.7413213885778276,0.9098208770846201,0.321656050955414
60+,0.02,0.9052547770700637,0.7435610302351624,0.907350216182829,0.32404458598726116
60+,0.03,0.9018710191082803,0.7446808510638298,0.9061148857319333,0.3252388535031847
60+,0.04,0.8861464968152867,0.7502799552071668,0.9036442248301421,0.3288216560509554
60+,0.05,0.8861464968152867,0.7502799552071668,0.9036442248301421,0.3288216560509554
60+,0.06,0.8751990445859873,0.7536394176931691,0.9024088943792464,0.33081210191082805
60+,0.07,0.8596735668789809,0.7592385218365062,0.900555898702903,0.3339968152866242
60+,0.08,0.8544984076433121,0.761478163493841,0.897467572575664,0.33678343949044587
60+,0.09,0.8413614649681529,0.7659574468085106,0.8962322421247684,0.339171974522293
60+,0.1,0.8343949044585988,0.7693169092945129,0.8949969116738727,0.3411624203821656
60+,0.11,0.8186703821656051,0.77491601343785,0.8919085855466338,0.34514331210191085
60+,0.12,0.8103105095541401,0.7793952967525196,0.8900555898702903,0.3479299363057325
60+,0.13,0.804140127388535,0.7816349384098544,0.8882025941939469,0.3499203821656051
60+,0.14,0.7973726114649682,0.7838745800671892,0.8863495985176034,0.3519108280254777
60+,0.15,0.7945859872611465,0.7849944008958567,0.8838789376158123,0.3539012738853503
60+,0.16,0.7824442675159236,0.7894736842105263,0.8820259419394688,0.35668789808917195
60+,0.17,0.7796576433121019,0.7905935050391937,0.8801729462631254,0.35828025477707004
60+,0.18,0.7816480891719745,0.7905935050391937,0.8770846201358864,0.36027070063694266
60+,0.19,0.7786624203821656,0.7917133258678611,0.875231624459543,0.36186305732484075
60+,0.2,0.7714968152866242,0.793952967525196,0.8739962940086473,0.36345541401273884
60+,0.21,0.7619426751592356,0.7973124300111982,0.8727609635577517,0.36544585987261147
60+,0.22,0.7543789808917197,0.799552071668533,0.8721432983323039,0.366640127388535
60+,0.23,0.7511942675159236,0.8006718924972005,0.8702903026559605,0.3682324840764331
60+,0.24,0.7352707006369427,0.8073908174692049,0.8690549722050649,0.3714171974522293
60+,0.25,0.7306926751592356,0.8096304591265397,0.8659666460778258,0.37420382165605093
60+,0.26,0.7131767515923567,0.8152295632698768,0.8634959851760345,0.37778662420382164
60+,0.27,0.70203025477707,0.8185890257558791,0.862260654725139,0.37977707006369427
60+,0.28,0.7034235668789809,0.8185890257558791,0.8597899938233478,0.38136942675159236
60+,0.29,0.6942675159235668,0.8219484882418813,0.8585546633724521,0.383359872611465
60+,0.3,0.6827229299363057,0.826427771556551,0.8548486720197653,0.3873407643312102
60+,0.31,0.6781449044585988,0.8286674132138858,0.8523780111179741,0.38972929936305734
60+,0.32,0.6781449044585988,0.8286674132138858,0.8523780111179741,0.38972929936305734
60+,0.33,0.6636146496815286,0.8331466965285554,0.8511426806670784,0.39211783439490444
