band,referral,sens_constant,sens_oracle_bins,sens_mass
<40,0.14101592115238817,0.6875,0.765625,0.703125
<40,0.1417740712661107,0.6875,0.765625,0.703125
<40,0.1425322213798332,0.6875,0.765625,0.703125
<40,0.14329037149355572,0.6875,0.765625,0.703125
<40,0.14404852160727824,0.6875,0.765625,0.703125
<40,0.14480667172100076,0.6875,0.765625,0.703125
<40,0.14556482183472327,0.6875,0.765625,0.703125
<40,0.1463229719484458,0.6875,0.765625,0.703125
<40,0.1470811220621683,0.6875,0.765625,0.703125
<40,0.14783927217589082,0.6875,0.765625,0.703125
<40,0.14859742228961334,0.703125,0.765625,0.703125
<40,0.14935557240333586,0.703125,0.765625,0.703125
<40,0.15011372251705837,0.703125,0.78125,0.703125
<40,0.1508718726307809,0.703125,0.78125,0.703125
<40,0.1516300227445034,0.703125,0.78125,0.703125
<40,0.15238817285822592,0.703125,0.78125,0.703125
<40,0.15314632297194844,0.703125,0.78125,0.703125
<40,0.15390447308567096,0.703125,0.78125,0.703125
<40,0.15466262319939347,0.703125,0.78125,0.703125
<40,0.155420773313116,0.703125,0.78125,0.703125
<40,0.1561789234268385,0.703125,0.78125,0.703125
<40,0.15693707354056102,0.703125,0.78125,0.703125
<40,0.15769522365428354,0.703125,0.78125,0.703125
<40,0.15845337376800606,0.703125,0.78125,0.703125
<40,0.15921152388172857,0.703125,0.796875,0.703125
<40,0.1599696739954511,0.703125,0.796875,0.703125
<40,0.1607278241091736,0.703125,0.796875,0.703125
<40,0.16148597422289612,0.703125,0.796875,0.703125
<40,0.16224412433661864,0.703125,0.796875,0.703125
<40,0.16300227445034116,0.703125,0.796875,0.703125
<40,0.16376042456406367,0.703125,0.796875,0.71875
<40,0.1645185746777862,0.703125,0.796875,0.71875
<40,0.1652767247915087,0.703125,0.796875,0.71875
<40,0.16603487490523122,0.703125,0.796875,0.71875
<40,0.16679302501895377,0.703125,0.796875,0.71875
<40,0.16755117513267628,0.703125,0.796875,0.71875
<40,0.1683093252463988,0.703125,0.8125,0.71875
<40,0.16906747536012132,0.703125,0.8125,0.71875
<40,0.16982562547384383,0.703125,0.8125,0.71875
<40,0.17058377558756635,0.703125,0.8125,0.71875
<40,0.17134192570128887,0.703125,0.8125,0.71875
<40,0.17210007581501138,0.703125,0.8125,0.71875
<40,0.1728582259287339,0.703125,0.8125,0.71875
<40,0.17361637604245642,0.703125,0.8125,0.71875
<40,0.17437452615617893,0.703125,0.8125,0.71875
<40,0.17513267626990145,0.703125,0.8125,0.71875
<40,0.17589082638362397,0.703125,0.8125,0.734375
<40,0.17664897649734648,0.703125,0.8125,0.734375
<40,0.177407126611069,0.703125,0.8125,0.734375
<40,0.17816527672479152,0.703125,0.8125,0.734375
<40,0.17892342683851403,0.703125,0.8125,0.734375
<40,0.17968157695223655,0.703125,0.828125,0.734375
<40,0.18043972706595907,0.703125,0.828125,0.734375
<40,0.18119787717968158,0.703125,0.828125,0.734375
<40,0.1819560272934041,0.71875,0.828125,0.734375
<40,0.18271417740712662,0.71875,0.828125,0.734375
<40,0.18347232752084913,0.71875,0.828125,0.734375
<40,0.18423047763457165,0.71875,0.828125,0.734375
<40,0.18498862774829417,0.71875,0.828125,0.75
